marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,ethnicity,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing,group
0,30,0,2,sleeping,0,8596595,blue,2,5,251,gandhinagar,9,kannada,1,2,31,pop,0,0,outdoor,soft,1,4
0,30,1,2,volunteering,0,2753719,black,2,10,884,hyderbad,3,hindi,1,15,3,romantic,0,0,outdoor,silky,0,9
1,30,1,1,sports,0,2753719,brown,4,5,3954,patna,8,punjabi,0,16,10,romantic,1,1,augmented,silky,1,6
0,12,0,4,reading,0,589089,white,2,5,1987,hyderbad,1,marathi,0,12,15,cover,1,0,augmented,soft,1,9
1,37,0,3,sports,0,111985,black,2,9,1902,chennai,15,malayalam,1,13,9,cover,0,0,indoor,matte,0,9
2,12,1,1,cooking,1,5007892,yellow,2,10,3467,vijayawada,1,punjabi,1,3,30,pop,0,0,indoor,hard,1,6
0,11,0,2,cooking,0,428343,brown,2,2,486,aizawl,1,punjabi,0,13,23,romantic,1,0,augmented,hard,2,10
0,27,0,1,reading,1,310904,red,1,6,897,raipur,5,telugu,1,14,38,metallic,1,0,augmented,hard,0,9
0,51,0,1,singing,0,656271,red,2,8,828,chennai,6,tamil,0,7,27,metallic,0,1,indoor,soft,2,10
0,23,1,3,sleeping,0,8273815,black,2,12,306,vijayawada,15,punjabi,0,17,27,folk,0,1,virtual,matte,1,4
0,52,2,3,volunteering,1,5797253,yellow,1,10,263,mumbai,6,punjabi,1,12,12,folk,1,0,virtual,silky,2,4
0,20,1,2,volunteering,0,1718402,red,1,9,1399,ranchi,14,marathi,1,13,7,soft,0,1,virtual,fluffy,2,9
0,53,1,3,volunteering,1,949312,yellow,2,8,263,kolkata,4,hindi,1,22,27,hiphop,1,1,virtual,hard,1,5
1,45,0,2,sports,0,329840,red,2,5,1399,shimla,10,kannada,0,17,12,folk,0,1,indoor,matte,0,10
3,23,1,4,watching,1,891648,yellow,2,4,519,lucknow,11,tamil,1,12,10,jaaz,1,1,augmented,fluffy,1,6
0,29,0,3,singing,1,218690,purple,7,9,689,dehradun,23,kannada,0,22,10,rock,1,0,augmented,soft,1,4
0,23,1,1,singing,0,8973395,orange,2,10,884,patna,11,punjabi,1,12,40,hiphop,1,0,outdoor,fluffy,0,4
1,72,0,1,sleeping,1,1069422,yellow,1,12,768,dispur,6,punjabi,0,17,13,rock,0,1,virtual,soft,1,10
0,62,0,2,sleeping,0,652739,brown,7,4,1394,jaipur,8,kannada,0,14,8,cover,1,1,virtual,silky,1,4
3,8,1,4,watching,0,1795936,blue,8,5,1244,itanagar,28,punjabi,1,15,14,mashups,1,1,indoor,hard,1,4
0,15,0,2,acting,0,754169,white,1,10,2551,itanagar,10,tamil,0,12,19,hiphop,0,1,outdoor,matte,1,10
0,19,0,2,volunteering,1,9587831,black,2,4,2573,dehradun,6,marathi,1,12,30,pop,1,0,virtual,fluffy,2,3
0,62,1,4,reading,1,7850318,yellow,1,5,263,bhubaneswar,4,marathi,1,17,15,folk,0,0,augmented,hard,0,4
2,21,1,2,cooking,0,574390,purple,1,9,1758,shillong,10,bengali,1,22,29,romantic,1,1,indoor,fluffy,2,8
0,20,0,3,reading,1,5797253,blue,2,9,602,mumbai,10,tamil,1,15,14,folk,1,1,augmented,silky,1,4
0,62,1,3,acting,1,1360106,white,1,8,1649,dispur,2,punjabi,0,13,10,rock,1,1,indoor,hard,0,5
2,37,0,3,sports,0,1360106,black,4,7,395,vijayawada,5,kannada,1,17,12,pop,1,1,augmented,fluffy,2,6
0,13,0,1,sleeping,0,8543553,yellow,8,8,1767,vijayawada,1,marathi,1,21,23,cover,1,0,augmented,silky,1,3
1,73,1,1,reading,0,2462054,yellow,1,10,1767,kohima,20,bengali,1,18,38,mashups,0,1,indoor,fluffy,1,9
0,26,2,1,sports,0,2074427,black,2,0,3214,patna,21,punjabi,1,12,40,mashups,0,0,virtual,soft,2,9
2,20,1,3,watching,0,2074427,purple,2,8,396,chennai,8,tamil,0,14,7,soft,0,0,augmented,matte,1,6
0,73,0,2,sports,1,893732,white,2,8,689,dispur,5,punjabi,0,6,10,hiphop,0,0,augmented,hard,2,5
0,55,0,2,cooking,0,505020,pink,1,6,1758,bhopal,4,punjabi,1,16,6,jaaz,1,0,augmented,silky,0,10
0,27,0,2,volunteering,1,4782671,purple,2,10,2551,kohima,5,kannada,1,1,14,hiphop,0,0,indoor,fluffy,0,4
0,37,0,2,traveling,0,1360106,orange,4,8,828,bangalore,28,bengali,0,17,8,jaaz,0,1,indoor,soft,0,4
2,28,1,3,cooking,1,584486,white,4,6,1219,chandigarh,7,punjabi,0,0,23,metallic,1,1,virtual,soft,0,6
0,22,0,3,singing,0,309195,red,2,8,2375,hyderbad,4,telugu,1,16,13,hiphop,0,1,indoor,matte,1,9
0,14,0,1,traveling,1,1563723,blue,2,9,1468,srinagar,15,telugu,1,20,4,folk,0,0,outdoor,hard,0,9
0,7,1,3,singing,0,1164430,orange,1,10,370,delhi,1,telugu,1,17,26,jaaz,1,0,indoor,fluffy,1,9
1,27,1,2,watching,0,5330846,brown,1,12,632,dispur,9,punjabi,0,17,18,jaaz,1,0,virtual,matte,1,6
1,25,0,1,singing,0,329840,grey,2,9,3972,srinagar,4,telugu,1,21,31,soft,1,0,outdoor,matte,1,1
0,20,1,2,dancing,1,9587831,purple,1,10,3467,thiruvananthapuram,23,tamil,1,14,4,soft,0,0,augmented,fluffy,1,4
0,14,1,1,traveling,1,8273815,grey,1,10,2445,lucknow,10,malayalam,1,14,23,hiphop,0,1,indoor,soft,2,4
0,44,1,1,traveling,1,8543553,yellow,2,0,407,dehradun,4,malayalam,1,0,16,folk,1,1,outdoor,fluffy,1,4
1,27,0,1,dancing,1,862365,purple,4,10,2299,gangtok,10,bengali,1,13,15,soft,1,0,indoor,hard,0,9
1,19,1,4,traveling,0,2651024,white,2,4,2699,shillong,10,punjabi,0,24,29,soft,0,0,augmented,matte,2,2
2,14,0,1,sports,1,428343,orange,2,6,1394,chennai,10,telugu,0,20,3,jaaz,0,0,virtual,hard,2,8
2,7,1,1,reading,1,4782671,green,2,5,3972,chennai,29,marathi,0,10,31,folk,0,0,virtual,hard,2,6
2,13,1,3,reading,1,6153800,orange,3,6,1758,kolkata,6,malayalam,1,12,31,hiphop,0,1,augmented,silky,0,4
0,18,1,3,sports,1,260870,yellow,2,8,1130,bangalore,10,kannada,1,15,20,cover,1,0,augmented,soft,0,9
2,26,0,1,sports,0,8017090,pink,4,10,602,bangalore,15,hindi,1,13,3,rock,0,1,virtual,hard,2,4
0,42,1,4,sports,0,104907,red,1,6,3139,agartala,18,kannada,1,15,10,rock,0,1,virtual,fluffy,0,9
0,46,0,1,singing,1,2462054,purple,2,12,921,gandhinagar,3,tamil,1,18,4,metallic,0,0,outdoor,fluffy,2,9
0,48,0,4,watching,0,588503,orange,1,12,1902,srinagar,8,telugu,0,3,19,pop,1,0,virtual,silky,0,9
0,25,0,1,dancing,1,987529,orange,4,11,2733,chandigarh,3,punjabi,0,14,20,soft,1,1,outdoor,silky,1,9
2,22,1,1,acting,0,4648178,red,8,10,2733,shillong,1,telugu,1,16,28,jaaz,1,0,virtual,fluffy,2,4
1,53,0,2,reading,0,4983019,blue,2,5,1542,hyderbad,23,telugu,1,15,3,mashups,0,0,outdoor,matte,1,6
1,13,0,2,volunteering,0,7135245,pink,1,10,831,gandhinagar,1,kannada,1,22,8,mashups,0,1,virtual,fluffy,0,6
2,60,0,3,sports,1,7850318,brown,1,11,1503,thiruvananthapuram,5,tamil,1,13,10,metallic,1,1,virtual,matte,2,4
0,24,1,3,watching,0,4492854,red,2,1,396,patna,18,punjabi,1,8,12,pop,0,1,virtual,silky,0,4
0,56,1,2,singing,1,1460818,blue,4,8,2831,mumbai,4,malayalam,0,21,29,hiphop,1,0,indoor,silky,0,4
1,18,0,4,cooking,1,104907,green,2,5,3954,panaji,15,bengali,1,14,20,rock,0,1,virtual,fluffy,2,6
0,6,1,4,cooking,0,754169,black,2,5,1932,chandigarh,4,punjabi,1,12,12,pop,0,0,indoor,fluffy,0,9
1,17,0,3,cooking,1,6251352,orange,4,0,407,chennai,18,kannada,0,12,22,jaaz,0,1,outdoor,soft,0,7
1,41,1,4,sleeping,1,5797253,orange,2,8,689,raipur,21,marathi,1,15,11,hiphop,1,1,outdoor,fluffy,0,4
1,7,1,2,sports,1,1884102,grey,2,9,2334,thiruvananthapuram,1,bengali,1,11,15,jaaz,1,1,indoor,matte,2,7
0,32,1,1,watching,0,2651024,yellow,1,9,519,lucknow,3,tamil,1,14,23,cover,1,0,virtual,hard,2,9
1,59,0,3,sports,0,987529,orange,8,10,3832,chennai,4,marathi,1,16,28,soft,0,0,augmented,silky,1,6
0,41,1,3,singing,0,9525596,blue,2,10,2768,aizawl,21,marathi,1,15,31,rock,0,0,augmented,soft,2,3
0,19,0,3,dancing,1,336197,blue,3,10,2334,raipur,10,malayalam,1,17,20,rock,1,1,virtual,hard,0,4
0,26,1,2,sleeping,0,851246,red,2,12,1552,ranchi,2,hindi,1,16,13,folk,1,0,indoor,silky,1,9
0,20,1,2,dancing,1,4492854,orange,2,8,689,jaipur,3,bengali,0,14,3,soft,1,1,augmented,hard,1,4
0,30,0,3,watching,0,4983019,brown,2,9,2299,hyderbad,10,tamil,1,8,12,jaaz,0,1,augmented,silky,0,4
0,25,1,2,traveling,1,967908,purple,3,0,1682,raipur,17,tamil,0,14,29,romantic,0,0,outdoor,hard,2,9
3,11,1,4,sports,0,987529,blue,1,6,1987,jaipur,10,malayalam,1,16,9,cover,0,1,indoor,matte,0,8
0,22,1,1,traveling,0,6941819,pink,7,10,1682,raipur,21,punjabi,0,5,12,rock,0,0,indoor,matte,2,3
1,23,1,2,singing,0,716230,purple,3,8,963,bangalore,3,bengali,1,13,31,folk,1,0,virtual,hard,0,2
1,52,0,2,watching,1,310904,white,2,5,2048,bhopal,4,punjabi,1,6,12,cover,1,0,virtual,hard,1,9
3,32,1,1,sports,0,735697,yellow,8,8,396,vijayawada,17,malayalam,1,16,31,romantic,0,0,augmented,fluffy,0,6
0,19,0,2,cooking,0,938438,yellow,1,9,1047,bangalore,11,malayalam,1,18,5,soft,1,1,outdoor,matte,0,10
0,14,0,3,cooking,1,6941819,blue,4,6,3286,dispur,4,hindi,1,14,27,folk,0,1,augmented,soft,0,3
0,53,0,3,watching,1,984830,white,4,7,1394,bhubaneswar,3,tamil,1,14,11,jaaz,0,0,virtual,hard,1,4
0,48,1,2,reading,0,5381784,green,1,10,3979,raipur,3,marathi,1,12,27,metallic,1,0,virtual,silky,1,4
0,59,0,3,watching,0,403987,blue,4,10,2690,lucknow,1,punjabi,1,14,25,folk,0,0,indoor,fluffy,1,4
0,19,0,3,sports,1,3498858,white,3,1,379,bhopal,7,marathi,1,15,29,folk,0,0,outdoor,fluffy,1,4
0,19,0,2,dancing,1,8348261,orange,2,6,2334,mumbai,1,punjabi,1,5,3,pop,0,0,augmented,silky,0,4
0,20,1,3,reading,0,9525596,white,2,10,1902,bhubaneswar,4,telugu,1,12,7,mashups,0,1,virtual,hard,2,3
0,60,0,3,dancing,0,111985,black,2,10,602,dehradun,29,punjabi,0,14,5,metallic,1,0,virtual,soft,2,5
0,23,1,2,traveling,0,505020,black,1,11,3972,dispur,18,punjabi,0,4,10,pop,1,0,virtual,silky,1,9
1,19,0,3,singing,0,893732,yellow,2,10,828,thiruvananthapuram,1,hindi,0,6,39,folk,0,1,augmented,matte,0,1
0,19,0,1,acting,1,6394389,black,2,0,3972,raipur,10,malayalam,1,16,3,hiphop,1,0,virtual,matte,0,4
0,6,0,2,dancing,0,837270,green,3,1,673,agartala,17,punjabi,1,13,3,folk,1,1,virtual,soft,0,9
1,52,1,1,volunteering,0,984830,blue,1,10,2768,vijayawada,2,telugu,1,11,23,metallic,1,0,indoor,soft,0,9
0,22,0,3,singing,0,3046609,red,7,5,3979,itanagar,4,tamil,1,20,10,folk,1,1,virtual,soft,0,4
0,35,0,1,sports,1,4648178,red,1,10,3979,imphal,4,punjabi,1,12,12,metallic,0,0,augmented,matte,1,4
3,29,0,2,acting,1,111985,grey,1,12,2831,kohima,3,telugu,1,12,31,folk,1,0,augmented,hard,2,8
3,41,1,3,acting,1,2651024,orange,2,10,921,dispur,15,hindi,1,14,14,folk,1,1,augmented,soft,2,6
0,19,1,3,volunteering,1,4492854,brown,8,2,1552,jaipur,7,telugu,0,14,12,rock,1,1,virtual,matte,1,3
0,17,1,2,acting,1,910711,yellow,4,7,1552,dispur,28,punjabi,1,16,17,romantic,1,0,indoor,fluffy,0,4
0,18,0,1,volunteering,0,214791,blue,2,4,673,raipur,9,telugu,0,14,23,folk,0,0,indoor,hard,1,10
0,6,0,1,dancing,1,5007892,blue,2,8,3979,lucknow,16,bengali,1,9,33,soft,0,0,indoor,soft,1,4
1,51,1,1,dancing,1,336197,red,4,8,1902,chandigarh,15,hindi,1,13,19,hiphop,1,0,outdoor,hard,0,9
1,27,1,2,acting,0,8596595,green,2,6,1503,chandigarh,3,punjabi,1,16,36,romantic,0,0,indoor,silky,0,4
1,19,1,1,traveling,0,862365,purple,2,9,963,jaipur,10,punjabi,1,12,34,cover,0,1,augmented,silky,1,2
2,20,0,2,sleeping,1,2462054,green,4,12,1682,dehradun,4,tamil,1,12,27,mashups,1,1,outdoor,silky,1,6
0,25,0,2,cooking,1,4648178,blue,3,8,963,delhi,13,marathi,0,14,8,folk,0,0,outdoor,hard,1,4
0,14,0,1,sleeping,0,657054,black,7,7,1219,jaipur,4,bengali,0,11,10,hiphop,1,1,augmented,silky,1,4
0,5,0,3,cooking,1,6394389,orange,3,10,1825,bangalore,2,bengali,1,18,12,folk,1,1,augmented,silky,0,4
0,13,0,2,cooking,0,7135245,brown,2,10,1552,kohima,8,telugu,1,10,6,hiphop,1,1,augmented,fluffy,0,4
2,22,0,2,cooking,0,6394389,purple,2,10,2334,jammu,6,bengali,1,15,20,pop,0,0,indoor,hard,0,6
2,39,0,3,volunteering,0,7508875,pink,2,7,884,vijayawada,6,marathi,1,17,26,pop,0,0,virtual,soft,1,4
2,33,1,1,traveling,0,680555,brown,2,4,2334,panaji,5,marathi,0,17,21,pop,0,0,indoor,hard,0,8
2,21,0,2,sports,1,5330846,blue,8,6,1649,raipur,4,tamil,0,13,6,pop,1,0,outdoor,soft,1,8
2,7,1,1,dancing,1,1069422,pink,3,8,884,chandigarh,1,punjabi,1,22,20,soft,1,0,virtual,hard,1,8
1,30,0,3,sleeping,1,131480,purple,2,9,2375,ranchi,7,punjabi,1,12,23,jaaz,1,1,indoor,matte,2,9
0,11,1,2,volunteering,0,150237,pink,1,6,1244,kolkata,6,punjabi,0,13,22,hiphop,0,0,outdoor,soft,1,9
1,48,0,2,reading,0,505020,pink,4,8,2160,chandigarh,18,tamil,0,9,18,pop,0,1,outdoor,soft,1,9
1,26,1,2,traveling,1,6251352,white,2,5,1552,srinagar,1,hindi,1,21,10,soft,0,1,indoor,fluffy,0,6
0,43,0,2,sports,1,938438,orange,4,9,2334,lucknow,9,malayalam,1,14,18,cover,1,0,augmented,matte,0,4
0,22,2,2,dancing,0,4823265,white,2,8,1047,mumbai,21,tamil,0,5,21,romantic,1,1,augmented,silky,1,4
0,25,1,3,singing,0,1079127,black,1,5,486,jammu,5,telugu,0,14,10,mashups,0,0,outdoor,matte,2,9
0,60,1,3,cooking,0,4648178,black,8,10,828,patna,21,kannada,1,15,7,soft,1,0,augmented,soft,0,3
0,19,2,2,watching,0,214791,pink,1,5,673,shimla,28,telugu,1,11,17,folk,0,0,augmented,fluffy,1,7
1,7,0,2,reading,1,5321373,yellow,2,10,486,delhi,3,telugu,0,15,14,romantic,0,0,outdoor,silky,2,6
0,10,0,1,sports,1,7135245,green,1,5,2699,jammu,20,punjabi,0,16,26,jaaz,0,0,outdoor,fluffy,1,4
0,60,0,2,volunteering,0,9525596,brown,1,10,2445,patna,4,malayalam,0,15,9,metallic,0,0,virtual,matte,1,4
0,13,1,2,cooking,0,131480,red,2,4,3139,chennai,13,tamil,1,7,28,mashups,0,1,virtual,hard,2,9
1,22,1,3,watching,1,1563723,yellow,3,12,407,mumbai,13,hindi,0,14,12,mashups,0,1,virtual,soft,0,2
1,41,1,2,watching,1,1563723,pink,4,5,395,panaji,21,kannada,1,10,13,metallic,1,0,augmented,matte,0,6
0,19,1,3,cooking,0,215870,black,2,5,831,panaji,8,tamil,0,12,4,hiphop,1,1,augmented,silky,2,9
0,15,1,1,traveling,0,6683746,blue,1,5,2733,aizawl,15,marathi,1,16,7,jaaz,0,0,outdoor,fluffy,0,4
2,6,0,1,acting,1,277431,white,2,7,1130,raipur,5,telugu,0,16,12,jaaz,1,0,augmented,soft,0,8
0,35,2,2,sports,1,9587831,white,2,10,2445,dispur,3,kannada,0,14,25,jaaz,0,0,indoor,soft,2,3
2,43,0,1,volunteering,0,2462054,green,4,8,1718,itanagar,7,malayalam,1,13,7,mashups,1,1,indoor,hard,0,6
1,55,0,2,cooking,1,2074427,purple,1,9,831,itanagar,8,telugu,0,20,9,pop,1,0,outdoor,fluffy,1,9
0,11,0,1,sleeping,1,967908,pink,3,5,2832,gandhinagar,23,malayalam,1,12,1,hiphop,1,1,augmented,matte,2,9
0,72,0,3,acting,1,277431,yellow,2,4,2832,aizawl,4,tamil,0,16,12,romantic,0,0,virtual,fluffy,0,5
2,27,1,1,sports,0,1069422,green,1,8,1552,jaipur,8,punjabi,0,21,23,metallic,1,0,indoor,fluffy,0,8
0,52,0,2,acting,1,2338408,yellow,4,8,768,bhubaneswar,10,marathi,1,12,3,folk,0,0,augmented,matte,1,4
1,16,1,3,acting,0,403987,red,2,5,1244,raipur,5,telugu,1,14,13,jaaz,0,1,augmented,fluffy,1,7
3,16,0,3,acting,1,949312,orange,1,8,2672,dehradun,14,punjabi,1,12,14,metallic,0,1,virtual,matte,1,8
1,42,0,3,dancing,1,436464,purple,4,9,1399,patna,9,bengali,1,17,21,metallic,1,1,outdoor,fluffy,1,6
2,25,0,4,singing,0,1164430,red,2,11,3286,shillong,14,tamil,0,21,8,hiphop,1,1,outdoor,matte,2,6
1,31,0,1,acting,0,5007892,pink,1,11,1355,delhi,20,kannada,0,7,8,romantic,0,1,indoor,silky,0,6
0,30,0,2,watching,1,5797253,yellow,2,8,2558,thiruvananthapuram,1,tamil,1,18,10,metallic,1,0,indoor,silky,1,4
1,31,0,2,acting,0,8348261,pink,1,5,845,panaji,10,malayalam,0,5,40,pop,0,1,virtual,hard,1,6
1,21,0,2,cooking,1,3832751,white,2,12,1825,bangalore,4,kannada,1,14,14,hiphop,0,0,indoor,hard,2,1
0,18,0,2,cooking,1,893732,pink,3,8,831,gangtok,3,kannada,0,6,22,folk,1,0,indoor,hard,1,9
2,36,0,1,acting,1,5330846,white,1,3,251,kolkata,4,punjabi,1,7,27,mashups,1,0,augmented,matte,1,6
0,20,1,4,singing,0,3832751,black,1,12,395,shimla,23,marathi,1,13,5,soft,1,0,augmented,matte,1,4
1,14,0,1,reading,1,5797253,white,2,0,845,bhubaneswar,15,malayalam,1,16,4,rock,0,0,indoor,soft,2,6
0,60,0,1,volunteering,1,8348261,yellow,1,5,2375,panaji,15,bengali,0,16,8,jaaz,1,0,augmented,soft,2,4
2,23,2,1,sports,0,112202,orange,2,0,1244,chennai,15,malayalam,1,17,33,mashups,1,1,augmented,matte,2,8
0,19,0,3,traveling,1,335973,grey,1,10,1767,jaipur,10,tamil,1,15,7,cover,0,0,augmented,soft,1,9
0,27,0,2,acting,0,3498858,grey,3,7,2733,lucknow,23,hindi,1,13,14,jaaz,1,1,virtual,soft,1,4
0,10,0,2,cooking,1,436464,purple,2,10,2202,gangtok,4,kannada,1,21,7,folk,1,1,virtual,matte,1,9
3,27,1,3,acting,1,218690,white,2,1,1682,mumbai,15,telugu,1,8,39,jaaz,1,1,outdoor,matte,1,8
0,19,1,1,traveling,1,2651024,white,1,6,1682,itanagar,5,malayalam,1,11,3,jaaz,0,1,augmented,hard,1,9
1,18,1,2,volunteering,0,403987,white,1,8,2768,lucknow,9,hindi,1,6,7,metallic,0,0,outdoor,matte,1,7
0,67,0,4,volunteering,1,6969252,blue,4,10,2048,ranchi,7,punjabi,1,13,29,soft,1,1,augmented,fluffy,0,3
1,15,1,1,sleeping,0,436464,pink,1,4,486,delhi,5,bengali,1,12,20,hiphop,1,1,virtual,matte,1,7
0,15,1,3,watching,0,657054,brown,4,4,1552,bhopal,11,telugu,1,15,20,hiphop,1,1,outdoor,fluffy,0,4
0,16,1,1,traveling,1,111985,brown,1,11,1767,vijayawada,15,tamil,1,14,20,romantic,0,0,indoor,soft,0,9
0,19,1,3,dancing,0,2208382,green,2,12,2389,chennai,1,punjabi,0,12,10,jaaz,1,1,virtual,matte,2,4
0,44,1,1,volunteering,0,6683746,purple,2,8,689,itanagar,6,kannada,1,15,3,jaaz,0,0,virtual,silky,0,4
0,23,0,3,sleeping,1,5797253,yellow,4,10,3972,shimla,15,hindi,1,15,4,jaaz,0,0,virtual,soft,0,4
0,6,0,2,sleeping,0,910711,grey,1,10,3832,gandhinagar,4,kannada,1,21,12,soft,0,0,virtual,fluffy,2,10
3,30,1,1,sleeping,0,399312,green,2,10,1507,delhi,25,telugu,1,1,12,romantic,1,1,indoor,fluffy,0,8
0,41,0,1,sports,1,816236,red,2,10,2372,dispur,10,tamil,1,22,23,pop,0,1,augmented,silky,2,9
0,30,1,2,acting,1,7508875,green,1,4,921,jammu,15,tamil,0,14,12,mashups,1,0,indoor,silky,0,4
0,48,2,2,traveling,1,735697,black,2,4,1767,gandhinagar,3,hindi,0,16,12,pop,0,0,virtual,matte,0,9
0,25,0,3,volunteering,0,111985,grey,2,5,2733,lucknow,14,telugu,0,21,28,mashups,0,1,augmented,matte,1,9
0,27,0,3,volunteering,0,104907,yellow,2,9,2305,jammu,6,tamil,1,9,10,jaaz,0,1,outdoor,fluffy,1,9
1,36,0,2,acting,1,257205,purple,2,9,1825,jammu,6,tamil,1,14,21,romantic,1,0,indoor,silky,1,9
1,55,1,1,watching,0,8348261,orange,2,5,379,chandigarh,6,telugu,1,14,20,folk,1,1,outdoor,hard,2,6
1,12,0,2,reading,0,738824,black,2,9,2048,shimla,10,marathi,1,12,31,hiphop,0,0,outdoor,soft,2,7
