marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,ethnicity,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing
married,19,male,3,acting,yes,8348261,brown,1,9,2733,chennai,18,tamil,no,4,27,romantic,yes,no,outdoor,hard,yes
married,14,female,1,volunteering,yes,5321373,red,2,3,853,agartala,15,punjabi,no,14,17,rock,yes,no,virtual,hard,not so often
unmarried,48,female,2,singing,yes,329840,white,1,9,2690,srinagar,15,hindi,yes,16,5,mashups,no,yes,outdoor,hard,yes
divorced,37,male,1,acting,no,910711,purple,1,4,602,jammu,6,kannada,no,12,8,cover,yes,no,outdoor,fluffy,no
unmarried,18,male,3,watching,yes,3498858,blue,2,4,1503,gangtok,15,malayalam,yes,12,7,hiphop,no,yes,augmented,silky,no
unmarried,34,male,1,singing,no,589089,yellow,2,9,1869,thiruvananthapuram,6,punjabi,no,13,38,jaaz,no,no,augmented,hard,no
unmarried,48,male,2,reading,no,5321373,pink,2,5,1047,shillong,7,bengali,yes,14,3,pop,no,yes,indoor,matte,not so often
married,31,male,1,sleeping,yes,657054,pink,4,0,2202,chandigarh,2,hindi,yes,14,8,rock,no,no,outdoor,fluffy,no
unmarried,43,female,3,watching,no,588503,blue,2,10,543,shimla,23,malayalam,yes,20,39,hiphop,yes,yes,augmented,silky,not so often
married,24,male,3,singing,yes,1164430,red,2,5,1902,chandigarh,20,telugu,yes,13,8,cover,no,yes,virtual,silky,yes
widow,39,male,1,watching,yes,816236,red,2,5,3912,patna,4,hindi,yes,9,10,pop,no,no,virtual,hard,yes
divorced,16,male,1,sleeping,no,6941819,yellow,1,8,845,panaji,4,kannada,yes,11,9,hiphop,yes,no,indoor,hard,no
married,25,male,2,traveling,yes,131480,white,1,8,828,raipur,5,tamil,no,17,5,mashups,no,no,outdoor,silky,yes
unmarried,21,male,1,acting,yes,8348261,red,2,8,2202,bhubaneswar,15,tamil,yes,5,21,romantic,no,yes,outdoor,hard,no
widow,23,female,3,sports,yes,984830,pink,4,1,921,jaipur,24,marathi,no,14,18,folk,yes,yes,virtual,matte,yes
unmarried,6,male,2,traveling,no,556724,yellow,1,12,845,aizawl,20,marathi,yes,14,10,soft,yes,yes,augmented,hard,not so often
married,55,male,1,watching,yes,218690,red,4,10,768,delhi,10,tamil,yes,18,23,folk,no,yes,indoor,fluffy,no
married,31,female,3,volunteering,yes,588503,yellow,4,12,1552,ranchi,4,marathi,yes,17,3,jaaz,no,no,virtual,matte,yes
divorced,39,male,2,singing,no,335973,black,2,11,3286,gangtok,13,punjabi,no,14,20,romantic,no,yes,augmented,matte,no
married,51,unspecified,2,cooking,yes,148716,pink,2,3,3979,mumbai,21,marathi,yes,3,3,jaaz,no,yes,outdoor,hard,yes
unmarried,30,male,1,cooking,no,329840,yellow,2,3,521,dispur,15,telugu,yes,17,25,metallic,yes,yes,augmented,matte,yes
unmarried,25,female,2,cooking,yes,6153800,green,2,9,2375,itanagar,1,hindi,no,3,20,mashups,yes,no,indoor,fluffy,no
divorced,11,female,2,watching,yes,212243,brown,7,10,379,dispur,6,malayalam,yes,7,10,jaaz,no,yes,augmented,soft,no
unmarried,37,female,1,sleeping,yes,6683746,grey,2,12,2573,thiruvananthapuram,1,hindi,yes,12,16,romantic,no,yes,virtual,matte,no
married,30,male,2,sleeping,no,8596595,blue,2,5,251,gandhinagar,9,kannada,yes,2,31,pop,no,no,outdoor,soft,yes
married,30,female,2,volunteering,no,2753719,black,2,10,884,hyderbad,3,hindi,yes,15,3,romantic,no,no,outdoor,silky,no
unmarried,30,female,1,sports,no,2753719,brown,4,5,3954,patna,8,punjabi,no,16,10,romantic,yes,yes,augmented,silky,yes
married,12,male,4,reading,no,589089,white,2,5,1987,hyderbad,1,marathi,no,12,15,cover,yes,no,augmented,soft,yes
unmarried,37,male,3,sports,no,111985,black,2,9,1902,chennai,15,malayalam,yes,13,9,cover,no,no,indoor,matte,no
divorced,12,female,1,cooking,yes,5007892,yellow,2,10,3467,vijayawada,1,punjabi,yes,3,30,pop,no,no,indoor,hard,yes
married,11,male,2,cooking,no,428343,brown,2,2,486,aizawl,1,punjabi,no,13,23,romantic,yes,no,augmented,hard,not so often
married,27,male,1,reading,yes,310904,red,1,6,897,raipur,5,telugu,yes,14,38,metallic,yes,no,augmented,hard,no
married,51,male,1,singing,no,656271,red,2,8,828,chennai,6,tamil,no,7,27,metallic,no,yes,indoor,soft,not so often
married,23,female,3,sleeping,no,8273815,black,2,12,306,vijayawada,15,punjabi,no,17,27,folk,no,yes,virtual,matte,yes
married,52,unspecified,3,volunteering,yes,5797253,yellow,1,10,263,mumbai,6,punjabi,yes,12,12,folk,yes,no,virtual,silky,not so often
married,20,female,2,volunteering,no,1718402,red,1,9,1399,ranchi,14,marathi,yes,13,7,soft,no,yes,virtual,fluffy,not so often
married,53,female,3,volunteering,yes,949312,yellow,2,8,263,kolkata,4,hindi,yes,22,27,hiphop,yes,yes,virtual,hard,yes
unmarried,45,male,2,sports,no,329840,red,2,5,1399,shimla,10,kannada,no,17,12,folk,no,yes,indoor,matte,no
widow,23,female,4,watching,yes,891648,yellow,2,4,519,lucknow,11,tamil,yes,12,10,jaaz,yes,yes,augmented,fluffy,yes
married,29,male,3,singing,yes,218690,purple,7,9,689,dehradun,23,kannada,no,22,10,rock,yes,no,augmented,soft,yes
married,23,female,1,singing,no,8973395,orange,2,10,884,patna,11,punjabi,yes,12,40,hiphop,yes,no,outdoor,fluffy,no
unmarried,72,male,1,sleeping,yes,1069422,yellow,1,12,768,dispur,6,punjabi,no,17,13,rock,no,yes,virtual,soft,yes
married,62,male,2,sleeping,no,652739,brown,7,4,1394,jaipur,8,kannada,no,14,8,cover,yes,yes,virtual,silky,yes
widow,8,female,4,watching,no,1795936,blue,8,5,1244,itanagar,28,punjabi,yes,15,14,mashups,yes,yes,indoor,hard,yes
married,15,male,2,acting,no,754169,white,1,10,2551,itanagar,10,tamil,no,12,19,hiphop,no,yes,outdoor,matte,yes
married,19,male,2,volunteering,yes,9587831,black,2,4,2573,dehradun,6,marathi,yes,12,30,pop,yes,no,virtual,fluffy,not so often
married,62,female,4,reading,yes,7850318,yellow,1,5,263,bhubaneswar,4,marathi,yes,17,15,folk,no,no,augmented,hard,no
divorced,21,female,2,cooking,no,574390,purple,1,9,1758,shillong,10,bengali,yes,22,29,romantic,yes,yes,indoor,fluffy,not so often
married,20,male,3,reading,yes,5797253,blue,2,9,602,mumbai,10,tamil,yes,15,14,folk,yes,yes,augmented,silky,yes
married,62,female,3,acting,yes,1360106,white,1,8,1649,dispur,2,punjabi,no,13,10,rock,yes,yes,indoor,hard,no
divorced,37,male,3,sports,no,1360106,black,4,7,395,vijayawada,5,kannada,yes,17,12,pop,yes,yes,augmented,fluffy,not so often
married,13,male,1,sleeping,no,8543553,yellow,8,8,1767,vijayawada,1,marathi,yes,21,23,cover,yes,no,augmented,silky,yes
unmarried,73,female,1,reading,no,2462054,yellow,1,10,1767,kohima,20,bengali,yes,18,38,mashups,no,yes,indoor,fluffy,yes
married,26,unspecified,1,sports,no,2074427,black,2,0,3214,patna,21,punjabi,yes,12,40,mashups,no,no,virtual,soft,not so often
divorced,20,female,3,watching,no,2074427,purple,2,8,396,chennai,8,tamil,no,14,7,soft,no,no,augmented,matte,yes
married,73,male,2,sports,yes,893732,white,2,8,689,dispur,5,punjabi,no,6,10,hiphop,no,no,augmented,hard,not so often
married,55,male,2,cooking,no,505020,pink,1,6,1758,bhopal,4,punjabi,yes,16,6,jaaz,yes,no,augmented,silky,no
married,27,male,2,volunteering,yes,4782671,purple,2,10,2551,kohima,5,kannada,yes,1,14,hiphop,no,no,indoor,fluffy,no
married,37,male,2,traveling,no,1360106,orange,4,8,828,bangalore,28,bengali,no,17,8,jaaz,no,yes,indoor,soft,no
divorced,28,female,3,cooking,yes,584486,white,4,6,1219,chandigarh,7,punjabi,no,0,23,metallic,yes,yes,virtual,soft,no
married,22,male,3,singing,no,309195,red,2,8,2375,hyderbad,4,telugu,yes,16,13,hiphop,no,yes,indoor,matte,yes
married,14,male,1,traveling,yes,1563723,blue,2,9,1468,srinagar,15,telugu,yes,20,4,folk,no,no,outdoor,hard,no
married,7,female,3,singing,no,1164430,orange,1,10,370,delhi,1,telugu,yes,17,26,jaaz,yes,no,indoor,fluffy,yes
unmarried,27,female,2,watching,no,5330846,brown,1,12,632,dispur,9,punjabi,no,17,18,jaaz,yes,no,virtual,matte,yes
unmarried,25,male,1,singing,no,329840,grey,2,9,3972,srinagar,4,telugu,yes,21,31,soft,yes,no,outdoor,matte,yes
married,20,female,2,dancing,yes,9587831,purple,1,10,3467,thiruvananthapuram,23,tamil,yes,14,4,soft,no,no,augmented,fluffy,yes
married,14,female,1,traveling,yes,8273815,grey,1,10,2445,lucknow,10,malayalam,yes,14,23,hiphop,no,yes,indoor,soft,not so often
married,44,female,1,traveling,yes,8543553,yellow,2,0,407,dehradun,4,malayalam,yes,0,16,folk,yes,yes,outdoor,fluffy,yes
unmarried,27,male,1,dancing,yes,862365,purple,4,10,2299,gangtok,10,bengali,yes,13,15,soft,yes,no,indoor,hard,no
unmarried,19,female,4,traveling,no,2651024,white,2,4,2699,shillong,10,punjabi,no,24,29,soft,no,no,augmented,matte,not so often
divorced,14,male,1,sports,yes,428343,orange,2,6,1394,chennai,10,telugu,no,20,3,jaaz,no,no,virtual,hard,not so often
divorced,7,female,1,reading,yes,4782671,green,2,5,3972,chennai,29,marathi,no,10,31,folk,no,no,virtual,hard,not so often
divorced,13,female,3,reading,yes,6153800,orange,3,6,1758,kolkata,6,malayalam,yes,12,31,hiphop,no,yes,augmented,silky,no
married,18,female,3,sports,yes,260870,yellow,2,8,1130,bangalore,10,kannada,yes,15,20,cover,yes,no,augmented,soft,no
divorced,26,male,1,sports,no,8017090,pink,4,10,602,bangalore,15,hindi,yes,13,3,rock,no,yes,virtual,hard,not so often
married,42,female,4,sports,no,104907,red,1,6,3139,agartala,18,kannada,yes,15,10,rock,no,yes,virtual,fluffy,no
married,46,male,1,singing,yes,2462054,purple,2,12,921,gandhinagar,3,tamil,yes,18,4,metallic,no,no,outdoor,fluffy,not so often
married,48,male,4,watching,no,588503,orange,1,12,1902,srinagar,8,telugu,no,3,19,pop,yes,no,virtual,silky,no
married,25,male,1,dancing,yes,987529,orange,4,11,2733,chandigarh,3,punjabi,no,14,20,soft,yes,yes,outdoor,silky,yes
divorced,22,female,1,acting,no,4648178,red,8,10,2733,shillong,1,telugu,yes,16,28,jaaz,yes,no,virtual,fluffy,not so often
unmarried,53,male,2,reading,no,4983019,blue,2,5,1542,hyderbad,23,telugu,yes,15,3,mashups,no,no,outdoor,matte,yes
unmarried,13,male,2,volunteering,no,7135245,pink,1,10,831,gandhinagar,1,kannada,yes,22,8,mashups,no,yes,virtual,fluffy,no
divorced,60,male,3,sports,yes,7850318,brown,1,11,1503,thiruvananthapuram,5,tamil,yes,13,10,metallic,yes,yes,virtual,matte,not so often
married,24,female,3,watching,no,4492854,red,2,1,396,patna,18,punjabi,yes,8,12,pop,no,yes,virtual,silky,no
married,56,female,2,singing,yes,1460818,blue,4,8,2831,mumbai,4,malayalam,no,21,29,hiphop,yes,no,indoor,silky,no
unmarried,18,male,4,cooking,yes,104907,green,2,5,3954,panaji,15,bengali,yes,14,20,rock,no,yes,virtual,fluffy,not so often
married,6,female,4,cooking,no,754169,black,2,5,1932,chandigarh,4,punjabi,yes,12,12,pop,no,no,indoor,fluffy,no
unmarried,17,male,3,cooking,yes,6251352,orange,4,0,407,chennai,18,kannada,no,12,22,jaaz,no,yes,outdoor,soft,no
unmarried,41,female,4,sleeping,yes,5797253,orange,2,8,689,raipur,21,marathi,yes,15,11,hiphop,yes,yes,outdoor,fluffy,no
unmarried,7,female,2,sports,yes,1884102,grey,2,9,2334,thiruvananthapuram,1,bengali,yes,11,15,jaaz,yes,yes,indoor,matte,not so often
married,32,female,1,watching,no,2651024,yellow,1,9,519,lucknow,3,tamil,yes,14,23,cover,yes,no,virtual,hard,not so often
unmarried,59,male,3,sports,no,987529,orange,8,10,3832,chennai,4,marathi,yes,16,28,soft,no,no,augmented,silky,yes
married,41,female,3,singing,no,9525596,blue,2,10,2768,aizawl,21,marathi,yes,15,31,rock,no,no,augmented,soft,not so often
married,19,male,3,dancing,yes,336197,blue,3,10,2334,raipur,10,malayalam,yes,17,20,rock,yes,yes,virtual,hard,no
married,26,female,2,sleeping,no,851246,red,2,12,1552,ranchi,2,hindi,yes,16,13,folk,yes,no,indoor,silky,yes
married,20,female,2,dancing,yes,4492854,orange,2,8,689,jaipur,3,bengali,no,14,3,soft,yes,yes,augmented,hard,yes
married,30,male,3,watching,no,4983019,brown,2,9,2299,hyderbad,10,tamil,yes,8,12,jaaz,no,yes,augmented,silky,no
married,25,female,2,traveling,yes,967908,purple,3,0,1682,raipur,17,tamil,no,14,29,romantic,no,no,outdoor,hard,not so often
widow,11,female,4,sports,no,987529,blue,1,6,1987,jaipur,10,malayalam,yes,16,9,cover,no,yes,indoor,matte,no
married,22,female,1,traveling,no,6941819,pink,7,10,1682,raipur,21,punjabi,no,5,12,rock,no,no,indoor,matte,not so often
unmarried,23,female,2,singing,no,716230,purple,3,8,963,bangalore,3,bengali,yes,13,31,folk,yes,no,virtual,hard,no
unmarried,52,male,2,watching,yes,310904,white,2,5,2048,bhopal,4,punjabi,yes,6,12,cover,yes,no,virtual,hard,yes
widow,32,female,1,sports,no,735697,yellow,8,8,396,vijayawada,17,malayalam,yes,16,31,romantic,no,no,augmented,fluffy,no
married,19,male,2,cooking,no,938438,yellow,1,9,1047,bangalore,11,malayalam,yes,18,5,soft,yes,yes,outdoor,matte,no
married,14,male,3,cooking,yes,6941819,blue,4,6,3286,dispur,4,hindi,yes,14,27,folk,no,yes,augmented,soft,no
married,53,male,3,watching,yes,984830,white,4,7,1394,bhubaneswar,3,tamil,yes,14,11,jaaz,no,no,virtual,hard,yes
married,48,female,2,reading,no,5381784,green,1,10,3979,raipur,3,marathi,yes,12,27,metallic,yes,no,virtual,silky,yes
married,59,male,3,watching,no,403987,blue,4,10,2690,lucknow,1,punjabi,yes,14,25,folk,no,no,indoor,fluffy,yes
married,19,male,3,sports,yes,3498858,white,3,1,379,bhopal,7,marathi,yes,15,29,folk,no,no,outdoor,fluffy,yes
married,19,male,2,dancing,yes,8348261,orange,2,6,2334,mumbai,1,punjabi,yes,5,3,pop,no,no,augmented,silky,no
married,20,female,3,reading,no,9525596,white,2,10,1902,bhubaneswar,4,telugu,yes,12,7,mashups,no,yes,virtual,hard,not so often
married,60,male,3,dancing,no,111985,black,2,10,602,dehradun,29,punjabi,no,14,5,metallic,yes,no,virtual,soft,not so often
married,23,female,2,traveling,no,505020,black,1,11,3972,dispur,18,punjabi,no,4,10,pop,yes,no,virtual,silky,yes
unmarried,19,male,3,singing,no,893732,yellow,2,10,828,thiruvananthapuram,1,hindi,no,6,39,folk,no,yes,augmented,matte,no
married,19,male,1,acting,yes,6394389,black,2,0,3972,raipur,10,malayalam,yes,16,3,hiphop,yes,no,virtual,matte,no
married,6,male,2,dancing,no,837270,green,3,1,673,agartala,17,punjabi,yes,13,3,folk,yes,yes,virtual,soft,no
unmarried,52,female,1,volunteering,no,984830,blue,1,10,2768,vijayawada,2,telugu,yes,11,23,metallic,yes,no,indoor,soft,no
married,22,male,3,singing,no,3046609,red,7,5,3979,itanagar,4,tamil,yes,20,10,folk,yes,yes,virtual,soft,no
married,35,male,1,sports,yes,4648178,red,1,10,3979,imphal,4,punjabi,yes,12,12,metallic,no,no,augmented,matte,yes
widow,29,male,2,acting,yes,111985,grey,1,12,2831,kohima,3,telugu,yes,12,31,folk,yes,no,augmented,hard,not so often
widow,41,female,3,acting,yes,2651024,orange,2,10,921,dispur,15,hindi,yes,14,14,folk,yes,yes,augmented,soft,not so often
married,19,female,3,volunteering,yes,4492854,brown,8,2,1552,jaipur,7,telugu,no,14,12,rock,yes,yes,virtual,matte,yes
married,17,female,2,acting,yes,910711,yellow,4,7,1552,dispur,28,punjabi,yes,16,17,romantic,yes,no,indoor,fluffy,no
married,18,male,1,volunteering,no,214791,blue,2,4,673,raipur,9,telugu,no,14,23,folk,no,no,indoor,hard,yes
married,6,male,1,dancing,yes,5007892,blue,2,8,3979,lucknow,16,bengali,yes,9,33,soft,no,no,indoor,soft,yes
unmarried,51,female,1,dancing,yes,336197,red,4,8,1902,chandigarh,15,hindi,yes,13,19,hiphop,yes,no,outdoor,hard,no
unmarried,27,female,2,acting,no,8596595,green,2,6,1503,chandigarh,3,punjabi,yes,16,36,romantic,no,no,indoor,silky,no
unmarried,19,female,1,traveling,no,862365,purple,2,9,963,jaipur,10,punjabi,yes,12,34,cover,no,yes,augmented,silky,yes
divorced,20,male,2,sleeping,yes,2462054,green,4,12,1682,dehradun,4,tamil,yes,12,27,mashups,yes,yes,outdoor,silky,yes
married,25,male,2,cooking,yes,4648178,blue,3,8,963,delhi,13,marathi,no,14,8,folk,no,no,outdoor,hard,yes
married,14,male,1,sleeping,no,657054,black,7,7,1219,jaipur,4,bengali,no,11,10,hiphop,yes,yes,augmented,silky,yes
married,5,male,3,cooking,yes,6394389,orange,3,10,1825,bangalore,2,bengali,yes,18,12,folk,yes,yes,augmented,silky,no
married,13,male,2,cooking,no,7135245,brown,2,10,1552,kohima,8,telugu,yes,10,6,hiphop,yes,yes,augmented,fluffy,no
divorced,22,male,2,cooking,no,6394389,purple,2,10,2334,jammu,6,bengali,yes,15,20,pop,no,no,indoor,hard,no
divorced,39,male,3,volunteering,no,7508875,pink,2,7,884,vijayawada,6,marathi,yes,17,26,pop,no,no,virtual,soft,yes
divorced,33,female,1,traveling,no,680555,brown,2,4,2334,panaji,5,marathi,no,17,21,pop,no,no,indoor,hard,no
divorced,21,male,2,sports,yes,5330846,blue,8,6,1649,raipur,4,tamil,no,13,6,pop,yes,no,outdoor,soft,yes
divorced,7,female,1,dancing,yes,1069422,pink,3,8,884,chandigarh,1,punjabi,yes,22,20,soft,yes,no,virtual,hard,yes
unmarried,30,male,3,sleeping,yes,131480,purple,2,9,2375,ranchi,7,punjabi,yes,12,23,jaaz,yes,yes,indoor,matte,not so often
married,11,female,2,volunteering,no,150237,pink,1,6,1244,kolkata,6,punjabi,no,13,22,hiphop,no,no,outdoor,soft,yes
unmarried,48,male,2,reading,no,505020,pink,4,8,2160,chandigarh,18,tamil,no,9,18,pop,no,yes,outdoor,soft,yes
unmarried,26,female,2,traveling,yes,6251352,white,2,5,1552,srinagar,1,hindi,yes,21,10,soft,no,yes,indoor,fluffy,no
married,43,male,2,sports,yes,938438,orange,4,9,2334,lucknow,9,malayalam,yes,14,18,cover,yes,no,augmented,matte,no
married,22,unspecified,2,dancing,no,4823265,white,2,8,1047,mumbai,21,tamil,no,5,21,romantic,yes,yes,augmented,silky,yes
married,25,female,3,singing,no,1079127,black,1,5,486,jammu,5,telugu,no,14,10,mashups,no,no,outdoor,matte,not so often
married,60,female,3,cooking,no,4648178,black,8,10,828,patna,21,kannada,yes,15,7,soft,yes,no,augmented,soft,no
married,19,unspecified,2,watching,no,214791,pink,1,5,673,shimla,28,telugu,yes,11,17,folk,no,no,augmented,fluffy,yes
unmarried,7,male,2,reading,yes,5321373,yellow,2,10,486,delhi,3,telugu,no,15,14,romantic,no,no,outdoor,silky,not so often
married,10,male,1,sports,yes,7135245,green,1,5,2699,jammu,20,punjabi,no,16,26,jaaz,no,no,outdoor,fluffy,yes
married,60,male,2,volunteering,no,9525596,brown,1,10,2445,patna,4,malayalam,no,15,9,metallic,no,no,virtual,matte,yes
married,13,female,2,cooking,no,131480,red,2,4,3139,chennai,13,tamil,yes,7,28,mashups,no,yes,virtual,hard,not so often
unmarried,22,female,3,watching,yes,1563723,yellow,3,12,407,mumbai,13,hindi,no,14,12,mashups,no,yes,virtual,soft,no
unmarried,41,female,2,watching,yes,1563723,pink,4,5,395,panaji,21,kannada,yes,10,13,metallic,yes,no,augmented,matte,no
married,19,female,3,cooking,no,215870,black,2,5,831,panaji,8,tamil,no,12,4,hiphop,yes,yes,augmented,silky,not so often
married,15,female,1,traveling,no,6683746,blue,1,5,2733,aizawl,15,marathi,yes,16,7,jaaz,no,no,outdoor,fluffy,no
divorced,6,male,1,acting,yes,277431,white,2,7,1130,raipur,5,telugu,no,16,12,jaaz,yes,no,augmented,soft,no
married,35,unspecified,2,sports,yes,9587831,white,2,10,2445,dispur,3,kannada,no,14,25,jaaz,no,no,indoor,soft,not so often
divorced,43,male,1,volunteering,no,2462054,green,4,8,1718,itanagar,7,malayalam,yes,13,7,mashups,yes,yes,indoor,hard,no
unmarried,55,male,2,cooking,yes,2074427,purple,1,9,831,itanagar,8,telugu,no,20,9,pop,yes,no,outdoor,fluffy,yes
married,11,male,1,sleeping,yes,967908,pink,3,5,2832,gandhinagar,23,malayalam,yes,12,1,hiphop,yes,yes,augmented,matte,not so often
married,72,male,3,acting,yes,277431,yellow,2,4,2832,aizawl,4,tamil,no,16,12,romantic,no,no,virtual,fluffy,no
divorced,27,female,1,sports,no,1069422,green,1,8,1552,jaipur,8,punjabi,no,21,23,metallic,yes,no,indoor,fluffy,no
married,52,male,2,acting,yes,2338408,yellow,4,8,768,bhubaneswar,10,marathi,yes,12,3,folk,no,no,augmented,matte,yes
unmarried,16,female,3,acting,no,403987,red,2,5,1244,raipur,5,telugu,yes,14,13,jaaz,no,yes,augmented,fluffy,yes
widow,16,male,3,acting,yes,949312,orange,1,8,2672,dehradun,14,punjabi,yes,12,14,metallic,no,yes,virtual,matte,yes
unmarried,42,male,3,dancing,yes,436464,purple,4,9,1399,patna,9,bengali,yes,17,21,metallic,yes,yes,outdoor,fluffy,yes
divorced,25,male,4,singing,no,1164430,red,2,11,3286,shillong,14,tamil,no,21,8,hiphop,yes,yes,outdoor,matte,not so often
unmarried,31,male,1,acting,no,5007892,pink,1,11,1355,delhi,20,kannada,no,7,8,romantic,no,yes,indoor,silky,no
married,30,male,2,watching,yes,5797253,yellow,2,8,2558,thiruvananthapuram,1,tamil,yes,18,10,metallic,yes,no,indoor,silky,yes
unmarried,31,male,2,acting,no,8348261,pink,1,5,845,panaji,10,malayalam,no,5,40,pop,no,yes,virtual,hard,yes
unmarried,21,male,2,cooking,yes,3832751,white,2,12,1825,bangalore,4,kannada,yes,14,14,hiphop,no,no,indoor,hard,not so often
married,18,male,2,cooking,yes,893732,pink,3,8,831,gangtok,3,kannada,no,6,22,folk,yes,no,indoor,hard,yes
divorced,36,male,1,acting,yes,5330846,white,1,3,251,kolkata,4,punjabi,yes,7,27,mashups,yes,no,augmented,matte,yes
married,20,female,4,singing,no,3832751,black,1,12,395,shimla,23,marathi,yes,13,5,soft,yes,no,augmented,matte,yes
unmarried,14,male,1,reading,yes,5797253,white,2,0,845,bhubaneswar,15,malayalam,yes,16,4,rock,no,no,indoor,soft,not so often
married,60,male,1,volunteering,yes,8348261,yellow,1,5,2375,panaji,15,bengali,no,16,8,jaaz,yes,no,augmented,soft,not so often
divorced,23,unspecified,1,sports,no,112202,orange,2,0,1244,chennai,15,malayalam,yes,17,33,mashups,yes,yes,augmented,matte,not so often
married,19,male,3,traveling,yes,335973,grey,1,10,1767,jaipur,10,tamil,yes,15,7,cover,no,no,augmented,soft,yes
married,27,male,2,acting,no,3498858,grey,3,7,2733,lucknow,23,hindi,yes,13,14,jaaz,yes,yes,virtual,soft,yes
married,10,male,2,cooking,yes,436464,purple,2,10,2202,gangtok,4,kannada,yes,21,7,folk,yes,yes,virtual,matte,yes
widow,27,female,3,acting,yes,218690,white,2,1,1682,mumbai,15,telugu,yes,8,39,jaaz,yes,yes,outdoor,matte,yes
married,19,female,1,traveling,yes,2651024,white,1,6,1682,itanagar,5,malayalam,yes,11,3,jaaz,no,yes,augmented,hard,yes
unmarried,18,female,2,volunteering,no,403987,white,1,8,2768,lucknow,9,hindi,yes,6,7,metallic,no,no,outdoor,matte,yes
married,67,male,4,volunteering,yes,6969252,blue,4,10,2048,ranchi,7,punjabi,yes,13,29,soft,yes,yes,augmented,fluffy,no
unmarried,15,female,1,sleeping,no,436464,pink,1,4,486,delhi,5,bengali,yes,12,20,hiphop,yes,yes,virtual,matte,yes
married,15,female,3,watching,no,657054,brown,4,4,1552,bhopal,11,telugu,yes,15,20,hiphop,yes,yes,outdoor,fluffy,no
married,16,female,1,traveling,yes,111985,brown,1,11,1767,vijayawada,15,tamil,yes,14,20,romantic,no,no,indoor,soft,no
married,19,female,3,dancing,no,2208382,green,2,12,2389,chennai,1,punjabi,no,12,10,jaaz,yes,yes,virtual,matte,not so often
married,44,female,1,volunteering,no,6683746,purple,2,8,689,itanagar,6,kannada,yes,15,3,jaaz,no,no,virtual,silky,no
married,23,male,3,sleeping,yes,5797253,yellow,4,10,3972,shimla,15,hindi,yes,15,4,jaaz,no,no,virtual,soft,no
married,6,male,2,sleeping,no,910711,grey,1,10,3832,gandhinagar,4,kannada,yes,21,12,soft,no,no,virtual,fluffy,not so often
widow,30,female,1,sleeping,no,399312,green,2,10,1507,delhi,25,telugu,yes,1,12,romantic,yes,yes,indoor,fluffy,no
married,41,male,1,sports,yes,816236,red,2,10,2372,dispur,10,tamil,yes,22,23,pop,no,yes,augmented,silky,not so often
