marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing,group
0,55,0,2,3,0,505020,1,1,6,1758,3,4,1,16,6,2,1,0,3,1,0,10
0,27,0,2,4,1,4782671,4,2,10,2551,3,5,1,1,14,7,0,0,0,4,0,4
0,37,0,2,8,0,1360106,2,4,8,828,1,28,0,17,8,2,0,1,0,0,0,4
2,28,1,3,3,1,584486,8,4,6,1219,2,7,0,0,23,4,1,1,2,0,0,6
0,22,0,3,6,0,309195,0,2,8,2375,2,4,1,16,13,7,0,1,0,3,1,9
0,14,0,1,8,1,1563723,6,2,9,1468,3,15,1,20,4,6,0,0,1,2,0,9
0,7,1,3,6,0,1164430,2,1,10,370,3,1,1,17,26,2,1,0,0,4,1,9
1,27,1,2,2,0,5330846,7,1,12,632,2,9,0,17,18,2,1,0,2,3,1,6
1,25,0,1,6,0,329840,9,2,9,3972,2,4,1,21,31,3,1,0,1,3,1,1
0,20,1,2,5,1,9587831,4,1,10,3467,2,23,1,14,4,3,0,0,3,4,1,4
0,14,1,1,8,1,8273815,9,1,10,2445,3,10,1,14,23,7,0,1,0,0,2,4
0,44,1,1,8,1,8543553,3,2,0,407,3,4,1,0,16,6,1,1,1,4,1,4
1,27,0,1,5,1,862365,4,4,10,2299,1,10,1,13,15,3,1,0,0,2,0,9
1,19,1,4,8,0,2651024,8,2,4,2699,2,10,0,24,29,3,0,0,3,3,2,2
2,14,0,1,0,1,428343,2,2,6,1394,1,10,0,20,3,2,0,0,2,2,2,8
2,7,1,1,1,1,4782671,5,2,5,3972,3,29,0,10,31,6,0,0,2,2,2,6
2,13,1,3,1,1,6153800,2,3,6,1758,3,6,1,12,31,7,0,1,3,1,0,4
0,18,1,3,0,1,260870,3,2,8,1130,1,10,1,15,20,9,1,0,3,0,0,9
2,26,0,1,0,0,8017090,1,4,10,602,2,15,1,13,3,0,0,1,2,2,2,4
0,42,1,4,0,0,104907,0,1,6,3139,1,18,1,15,10,0,0,1,2,4,0,9
0,46,0,1,6,1,2462054,4,2,12,921,2,3,1,18,4,4,0,0,1,4,2,9
0,48,0,4,2,0,588503,2,1,12,1902,1,8,0,3,19,1,1,0,2,1,0,9
0,25,0,1,5,1,987529,2,4,11,2733,2,3,0,14,20,3,1,1,1,1,1,9
2,22,1,1,9,0,4648178,0,8,10,2733,1,1,1,16,28,2,1,0,2,4,2,4
1,53,0,2,1,0,4983019,6,2,5,1542,2,23,1,15,3,8,0,0,1,3,1,6
1,13,0,2,4,0,7135245,1,1,10,831,2,1,1,22,8,8,0,1,2,4,0,6
2,60,0,3,0,1,7850318,7,1,11,1503,2,5,1,13,10,4,1,1,2,3,2,4
0,24,1,3,2,0,4492854,0,2,1,396,3,18,1,8,12,1,0,1,2,1,0,4
0,56,1,2,6,1,1460818,6,4,8,2831,2,4,0,21,29,7,1,0,0,1,0,4
1,18,0,4,3,1,104907,5,2,5,3954,1,15,1,14,20,0,0,1,2,4,2,6
0,6,1,4,3,0,754169,10,2,5,1932,2,4,1,12,12,1,0,0,0,4,0,9
1,17,0,3,3,1,6251352,2,4,0,407,2,18,0,12,22,2,0,1,1,0,0,7
1,41,1,4,7,1,5797253,2,2,8,689,3,21,1,15,11,7,1,1,1,4,0,4
1,7,1,2,0,1,1884102,9,2,9,2334,1,1,1,11,15,2,1,1,0,3,2,7
0,32,1,1,2,0,2651024,3,1,9,519,3,3,1,14,23,9,1,0,2,2,2,9
1,59,0,3,0,0,987529,2,8,10,3832,3,4,1,16,28,3,0,0,3,1,1,6
0,41,1,3,6,0,9525596,6,2,10,2768,2,21,1,15,31,0,0,0,3,0,2,3
0,19,0,3,5,1,336197,6,3,10,2334,1,10,1,17,20,0,1,1,2,2,0,4
0,26,1,2,7,0,851246,0,2,12,1552,3,2,1,16,13,6,1,0,0,1,1,9
0,20,1,2,5,1,4492854,2,2,8,689,1,3,0,14,3,3,1,1,3,2,1,4
0,30,0,3,2,0,4983019,7,2,9,2299,3,10,1,8,12,2,0,1,3,1,0,4
0,25,1,2,8,1,967908,4,3,0,1682,3,17,0,14,29,5,0,0,1,2,2,9
3,11,1,4,0,0,987529,6,1,6,1987,3,10,1,16,9,9,0,1,0,3,0,8
0,22,1,1,8,0,6941819,1,7,10,1682,2,21,0,5,12,0,0,0,0,3,2,3
1,23,1,2,6,0,716230,4,3,8,963,2,3,1,13,31,6,1,0,2,2,0,2
1,52,0,2,2,1,310904,8,2,5,2048,2,4,1,6,12,9,1,0,2,2,1,9
3,32,1,1,0,0,735697,3,8,8,396,1,17,1,16,31,5,0,0,3,4,0,6
0,19,0,2,3,0,938438,3,1,9,1047,3,11,1,18,5,3,1,1,1,3,0,10
0,14,0,3,3,1,6941819,6,4,6,3286,3,4,1,14,27,6,0,1,3,0,0,3
0,53,0,3,2,1,984830,8,4,7,1394,2,3,1,14,11,2,0,0,2,2,1,4
0,48,1,2,1,0,5381784,5,1,10,3979,1,3,1,12,27,4,1,0,2,1,1,4
0,59,0,3,2,0,403987,6,4,10,2690,1,1,1,14,25,6,0,0,0,4,1,4
0,19,0,3,0,1,3498858,8,3,1,379,1,7,1,15,29,6,0,0,1,4,1,4
0,19,0,2,5,1,8348261,2,2,6,2334,3,1,1,5,3,1,0,0,3,1,0,4
0,20,1,3,1,0,9525596,8,2,10,1902,2,4,1,12,7,8,0,1,2,2,2,3
0,60,0,3,5,0,111985,10,2,10,602,1,29,0,14,5,4,1,0,2,0,2,5
0,23,1,2,8,0,505020,10,1,11,3972,1,18,0,4,10,1,1,0,2,1,1,9
1,19,0,3,6,0,893732,3,2,10,828,2,1,0,6,39,6,0,1,3,3,0,1
0,19,0,1,9,1,6394389,10,2,0,3972,1,10,1,16,3,7,1,0,2,3,0,4
0,6,0,2,5,0,837270,5,3,1,673,2,17,1,13,3,6,1,1,2,0,0,9
1,52,1,1,4,0,984830,6,1,10,2768,3,2,1,11,23,4,1,0,0,0,0,9
0,22,0,3,6,0,3046609,0,7,5,3979,2,4,1,20,10,6,1,1,2,0,0,4
0,35,0,1,0,1,4648178,0,1,10,3979,1,4,1,12,12,4,0,0,3,3,1,4
3,29,0,2,9,1,111985,9,1,12,2831,2,3,1,12,31,6,1,0,3,2,2,8
3,41,1,3,9,1,2651024,2,2,10,921,2,15,1,14,14,6,1,1,3,0,2,6
0,19,1,3,4,1,4492854,7,8,2,1552,1,7,0,14,12,0,1,1,2,3,1,3
0,17,1,2,9,1,910711,3,4,7,1552,2,28,1,16,17,5,1,0,0,4,0,4
0,18,0,1,4,0,214791,6,2,4,673,2,9,0,14,23,6,0,0,0,2,1,10
0,6,0,1,5,1,5007892,6,2,8,3979,1,16,1,9,33,3,0,0,0,0,1,4
1,51,1,1,5,1,336197,0,4,8,1902,3,15,1,13,19,7,1,0,1,2,0,9
1,27,1,2,9,0,8596595,5,2,6,1503,1,3,1,16,36,5,0,0,0,1,0,4
1,19,1,1,8,0,862365,4,2,9,963,2,10,1,12,34,9,0,1,3,1,1,2
2,20,0,2,7,1,2462054,5,4,12,1682,2,4,1,12,27,8,1,1,1,1,1,6
0,25,0,2,3,1,4648178,6,3,8,963,3,13,0,14,8,6,0,0,1,2,1,4
0,14,0,1,7,0,657054,10,7,7,1219,1,4,0,11,10,7,1,1,3,1,1,4
0,5,0,3,3,1,6394389,2,3,10,1825,2,2,1,18,12,6,1,1,3,1,0,4
0,13,0,2,3,0,7135245,7,2,10,1552,3,8,1,10,6,7,1,1,3,4,0,4
2,22,0,2,3,0,6394389,4,2,10,2334,3,6,1,15,20,1,0,0,0,2,0,6
2,39,0,3,4,0,7508875,1,2,7,884,1,6,1,17,26,1,0,0,2,0,1,4
2,33,1,1,8,0,680555,7,2,4,2334,2,5,0,17,21,1,0,0,0,2,0,8
2,21,0,2,0,1,5330846,6,8,6,1649,1,4,0,13,6,1,1,0,1,0,1,8
2,7,1,1,5,1,1069422,1,3,8,884,2,1,1,22,20,3,1,0,2,2,1,8
1,30,0,3,7,1,131480,4,2,9,2375,2,7,1,12,23,2,1,1,0,3,2,9
0,11,1,2,4,0,150237,1,1,6,1244,3,6,0,13,22,7,0,0,1,0,1,9
1,48,0,2,1,0,505020,1,4,8,2160,3,18,0,9,18,1,0,1,1,0,1,9
1,26,1,2,8,1,6251352,8,2,5,1552,1,1,1,21,10,3,0,1,0,4,0,6
0,43,0,2,0,1,938438,2,4,9,2334,1,9,1,14,18,9,1,0,3,3,0,4
0,22,2,2,5,0,4823265,8,2,8,1047,2,21,0,5,21,5,1,1,3,1,1,4
0,25,1,3,6,0,1079127,10,1,5,486,1,5,0,14,10,8,0,0,1,3,2,9
0,60,1,3,3,0,4648178,10,8,10,828,2,21,1,15,7,3,1,0,3,0,0,3
0,19,2,2,2,0,214791,1,1,5,673,3,28,1,11,17,6,0,0,3,4,1,7
1,7,0,2,1,1,5321373,3,2,10,486,1,3,0,15,14,5,0,0,1,1,2,6
0,10,0,1,0,1,7135245,5,1,5,2699,2,20,0,16,26,2,0,0,1,4,1,4
0,60,0,2,4,0,9525596,7,1,10,2445,1,4,0,15,9,4,0,0,2,3,1,4
0,13,1,2,3,0,131480,0,2,4,3139,3,13,1,7,28,8,0,1,2,2,2,9
1,22,1,3,2,1,1563723,3,3,12,407,2,13,0,14,12,8,0,1,2,0,0,2
1,41,1,2,2,1,1563723,1,4,5,395,2,21,1,10,13,4,1,0,3,3,0,6
0,19,1,3,3,0,215870,10,2,5,831,1,8,0,12,4,7,1,1,3,1,2,9
0,15,1,1,8,0,6683746,6,1,5,2733,3,15,1,16,7,2,0,0,1,4,0,4
2,6,0,1,9,1,277431,8,2,7,1130,2,5,0,16,12,2,1,0,3,0,0,8
0,35,2,2,0,1,9587831,8,2,10,2445,1,3,0,14,25,2,0,0,0,0,2,3
2,43,0,1,4,0,2462054,5,4,8,1718,2,7,1,13,7,8,1,1,0,2,0,6
1,55,0,2,3,1,2074427,4,1,9,831,3,8,0,20,9,1,1,0,1,4,1,9
0,11,0,1,7,1,967908,1,3,5,2832,1,23,1,12,1,7,1,1,3,3,2,9
0,72,0,3,9,1,277431,3,2,4,2832,3,4,0,16,12,5,0,0,2,4,0,5
2,27,1,1,0,0,1069422,5,1,8,1552,3,8,0,21,23,4,1,0,0,4,0,8
0,52,0,2,9,1,2338408,3,4,8,768,1,10,1,12,3,6,0,0,3,3,1,4
1,16,1,3,9,0,403987,0,2,5,1244,1,5,1,14,13,2,0,1,3,4,1,7
3,16,0,3,9,1,949312,2,1,8,2672,3,14,1,12,14,4,0,1,2,3,1,8
1,42,0,3,5,1,436464,4,4,9,1399,1,9,1,17,21,4,1,1,1,4,1,6
2,25,0,4,6,0,1164430,0,2,11,3286,1,14,0,21,8,7,1,1,1,3,2,6
1,31,0,1,9,0,5007892,1,1,11,1355,3,20,0,7,8,5,0,1,0,1,0,6
0,30,0,2,2,1,5797253,3,2,8,2558,3,1,1,18,10,4,1,0,0,1,1,4
1,31,0,2,9,0,8348261,1,1,5,845,2,10,0,5,40,1,0,1,2,2,1,6
1,21,0,2,3,1,3832751,8,2,12,1825,1,4,1,14,14,7,0,0,0,2,2,1
0,18,0,2,3,1,893732,1,3,8,831,3,3,0,6,22,6,1,0,0,2,1,9
2,36,0,1,9,1,5330846,8,1,3,251,3,4,1,7,27,8,1,0,3,3,1,6
0,20,1,4,6,0,3832751,10,1,12,395,1,23,1,13,5,3,1,0,3,3,1,4
1,14,0,1,1,1,5797253,8,2,0,845,2,15,1,16,4,0,0,0,0,0,2,6
0,60,0,1,4,1,8348261,3,1,5,2375,1,15,0,16,8,2,1,0,3,0,2,4
2,23,2,1,0,0,112202,2,2,0,1244,1,15,1,17,33,8,1,1,3,3,2,8
0,19,0,3,8,1,335973,9,1,10,1767,2,10,1,15,7,9,0,0,3,0,1,9
0,27,0,2,9,0,3498858,9,3,7,2733,1,23,1,13,14,2,1,1,2,0,1,4
0,10,0,2,3,1,436464,4,2,10,2202,3,4,1,21,7,6,1,1,2,3,1,9
3,27,1,3,9,1,218690,8,2,1,1682,3,15,1,8,39,2,1,1,1,3,1,8
0,19,1,1,8,1,2651024,8,1,6,1682,2,5,1,11,3,2,0,1,3,2,1,9
1,18,1,2,4,0,403987,8,1,8,2768,3,9,1,6,7,4,0,0,1,3,1,7
0,67,0,4,4,1,6969252,6,4,10,2048,2,7,1,13,29,3,1,1,3,4,0,3
1,15,1,1,7,0,436464,1,1,4,486,3,5,1,12,20,7,1,1,2,3,1,7
0,15,1,3,2,0,657054,7,4,4,1552,2,11,1,15,20,7,1,1,1,4,0,4
0,16,1,1,8,1,111985,7,1,11,1767,2,15,1,14,20,5,0,0,0,0,0,9
0,19,1,3,5,0,2208382,5,2,12,2389,3,1,0,12,10,2,1,1,2,3,2,4
0,44,1,1,4,0,6683746,4,2,8,689,3,6,1,15,3,2,0,0,2,1,0,4
0,23,0,3,7,1,5797253,3,4,10,3972,3,15,1,15,4,2,0,0,2,0,0,4
0,6,0,2,7,0,910711,9,1,10,3832,3,4,1,21,12,3,0,0,2,4,2,10
3,30,1,1,7,0,399312,5,2,10,1507,3,25,1,1,12,5,1,1,0,4,0,8
0,41,0,1,0,1,816236,0,2,10,2372,1,10,1,22,23,1,0,1,3,1,2,9
0,30,1,2,9,1,7508875,5,1,4,921,2,15,0,14,12,8,1,0,0,1,0,4
0,48,2,2,8,1,735697,10,2,4,1767,2,3,0,16,12,1,0,0,2,3,0,9
0,25,0,3,4,0,111985,9,2,5,2733,2,14,0,21,28,8,0,1,3,3,1,9
0,27,0,3,4,0,104907,3,2,9,2305,3,6,1,9,10,2,0,1,1,4,1,9
1,36,0,2,9,1,257205,4,2,9,1825,2,6,1,14,21,5,1,0,0,1,1,9
1,55,1,1,2,0,8348261,2,2,5,379,3,6,1,14,20,6,1,1,1,2,2,6
1,12,0,2,1,0,738824,10,2,9,2048,2,10,1,12,31,7,0,0,1,0,2,7
1,8,0,2,8,0,6153800,9,4,12,1682,1,5,1,8,10,5,1,1,3,1,2,4
0,33,0,2,9,1,329840,1,2,4,845,1,15,0,20,22,4,0,0,0,1,0,9
0,52,1,3,6,0,738824,4,2,10,673,3,1,0,8,36,2,0,1,1,3,0,5
3,6,1,3,0,0,4983019,9,8,12,2699,2,21,1,22,11,6,0,1,3,4,2,8
0,53,0,1,7,0,589089,8,4,6,263,1,24,1,17,23,4,1,1,0,2,1,5
0,42,0,1,4,1,2208382,3,2,10,2389,1,18,1,21,19,8,0,0,2,3,2,9
0,14,0,3,1,0,8348261,3,1,8,921,1,15,1,23,2,9,1,0,2,4,0,4
1,20,0,3,3,0,574390,5,2,9,1166,2,18,1,13,1,9,1,0,0,0,2,1
3,27,1,3,0,0,949312,1,2,5,395,2,9,1,13,20,2,1,1,2,1,1,8
0,20,1,3,7,0,8017090,6,1,7,2558,3,23,1,14,17,5,0,1,3,1,2,4
1,15,1,1,1,0,8273815,2,1,8,831,2,6,1,6,20,8,1,1,2,1,1,6
0,23,1,1,1,0,7508875,1,2,11,845,3,8,1,7,20,5,1,0,3,1,2,4
0,48,0,2,7,0,309195,4,2,6,1552,2,14,1,12,11,3,0,0,2,0,1,9
0,23,0,2,6,0,1360106,2,8,12,407,2,1,1,16,1,2,0,0,2,3,1,4
1,14,0,2,8,0,716230,4,4,9,1355,1,20,1,17,28,8,0,1,0,1,2,7
3,32,1,2,5,0,656271,6,8,11,1244,2,1,0,9,30,2,0,0,3,0,1,6
3,62,0,2,5,1,150237,1,4,5,2832,1,2,0,5,36,5,0,1,1,1,1,6
0,62,0,3,8,1,716230,1,4,8,2832,1,7,1,13,30,2,1,0,3,2,1,4
0,60,1,4,8,0,2651024,10,2,10,3912,1,9,0,21,18,4,0,1,3,1,0,4
1,45,1,2,7,0,3046609,5,4,1,921,3,1,1,13,1,3,0,0,0,3,2,6
0,48,0,1,8,0,8348261,8,2,4,306,1,24,0,4,34,7,1,1,0,4,1,4
0,17,0,1,3,1,8973395,4,2,9,2768,1,18,1,13,5,6,1,1,3,3,2,4
0,20,0,1,1,0,6251352,8,2,10,1902,2,6,1,14,30,1,1,0,2,0,1,4
0,42,0,1,7,1,6394389,5,4,5,2768,1,18,1,12,19,3,1,1,1,2,2,4
0,35,0,1,2,0,399312,2,8,10,2690,1,9,0,24,40,6,1,1,3,0,1,4
0,12,0,3,9,1,1164430,4,2,8,2733,3,6,0,12,7,9,0,0,0,4,0,4
0,52,1,2,8,0,6941819,6,2,5,2299,3,13,0,24,8,5,0,0,1,0,0,4
2,20,0,1,2,1,754169,1,2,3,395,3,14,0,13,6,5,1,0,2,2,2,8
1,42,0,2,9,1,104907,6,1,10,2375,1,8,1,14,7,3,0,1,3,1,2,10
1,27,0,2,4,0,4823265,8,1,10,355,1,9,1,14,3,4,1,1,0,2,1,6
1,72,1,3,2,0,5330846,6,7,10,2690,1,9,1,20,20,6,0,1,1,4,0,9
0,46,2,3,4,1,6394389,4,2,10,884,2,1,1,17,3,4,1,1,1,4,2,4
0,60,0,3,0,1,574390,4,2,11,486,1,15,1,17,5,5,0,0,3,1,0,5
0,29,1,1,6,1,7508875,8,8,10,1825,1,16,1,9,5,4,1,1,0,4,1,3
0,58,0,3,2,1,987529,6,4,10,828,3,1,1,6,20,3,1,0,2,0,2,4
0,34,0,3,2,1,8273815,3,2,11,2690,2,1,1,6,14,7,1,1,1,1,1,3
0,19,0,2,8,1,3350881,0,2,9,2573,3,20,1,21,8,3,1,1,1,2,0,4
0,62,0,1,3,1,584486,3,3,10,3749,2,1,0,15,7,3,1,0,2,3,1,5
0,60,0,2,8,0,8596595,8,1,0,3832,2,15,1,14,29,9,0,1,0,2,2,4
3,7,0,2,3,0,2208382,3,1,7,2048,2,15,1,17,1,0,1,0,1,3,0,8
0,19,0,2,7,0,2208382,3,3,4,875,1,6,0,9,23,8,0,1,2,0,2,4
1,14,1,2,4,0,4782671,3,2,5,2299,3,3,0,14,20,7,0,0,1,1,0,6
0,6,2,2,5,1,3350881,0,2,10,2733,3,21,0,9,1,8,0,1,2,3,2,4
0,23,0,3,3,1,148716,6,4,8,632,2,6,0,14,8,6,0,1,0,4,0,4
1,48,1,2,5,0,104907,9,2,9,2573,2,16,0,24,20,0,0,0,1,2,0,9
3,19,1,1,6,1,8596595,10,1,4,2672,3,15,1,7,7,0,0,0,2,2,0,6
0,8,1,3,4,0,7850318,8,2,6,1394,2,25,0,8,10,8,0,0,2,1,2,4
0,11,1,3,7,0,7508875,5,2,9,379,1,7,0,15,26,2,0,1,0,0,1,4
2,8,0,2,6,0,589089,10,7,10,3286,2,6,0,7,8,1,0,0,0,0,2,6
0,19,0,3,9,0,6969252,10,2,6,2690,2,4,1,14,10,7,0,0,2,2,1,4
2,60,1,3,3,1,987529,5,1,9,1649,3,15,1,5,15,7,0,1,3,2,0,8
0,15,0,1,7,1,215870,7,4,5,2699,3,8,0,15,10,4,0,0,3,4,0,9
2,30,0,2,0,0,6941819,5,2,9,1542,1,6,1,14,9,7,1,0,0,4,0,6
1,28,1,1,8,0,4492854,10,2,10,1682,1,16,1,16,3,8,0,1,2,1,2,6
3,41,0,3,8,0,4782671,6,1,6,1219,1,10,1,20,30,3,0,1,0,1,1,6
0,67,0,3,8,1,336197,6,2,11,251,1,4,1,5,27,6,0,0,1,3,1,5
0,45,0,3,8,0,862365,1,2,10,1047,1,9,1,14,12,6,1,0,1,1,0,9
0,20,1,3,2,0,851246,10,1,0,2699,2,8,1,6,23,0,0,1,1,2,2,9
0,18,0,2,3,0,3350881,5,8,10,2551,1,13,1,14,10,3,1,1,1,0,1,4
0,59,0,3,5,1,399312,6,2,10,3912,3,14,0,24,14,4,0,1,3,2,0,5
1,11,0,3,8,1,6251352,10,2,10,2334,3,14,1,21,10,8,1,1,2,0,0,4
0,73,0,3,0,1,2074427,7,8,9,1902,2,15,0,18,12,4,0,0,2,0,2,3
1,8,0,3,1,0,6251352,2,2,6,1219,1,5,1,13,13,4,1,1,0,4,0,6
1,60,1,1,0,0,987529,0,3,11,1542,3,10,1,16,31,2,1,0,0,3,0,9
2,11,0,3,6,0,656271,0,2,10,3832,2,13,1,12,8,1,1,0,3,1,0,8
0,53,0,2,7,0,214791,2,1,10,2299,3,23,1,16,10,2,0,0,1,0,2,10
3,30,1,2,9,0,4983019,1,7,12,337,1,10,1,13,14,2,1,1,2,2,0,4
0,12,0,3,6,1,505020,5,1,10,2445,3,4,1,23,31,6,0,1,1,4,0,9
1,55,0,1,5,1,4492854,2,2,4,1869,2,4,1,6,29,3,1,0,2,3,1,6
